gene	n_hits
ARCN1	4
AREG	248
AREL1	2
ARF1	49
ARF3	7
ARF4	4
ARF5	4
ARF6	121
ARFGAP1	6
ARFGAP2	0
ARFGAP3	3
ARFGEF1	4
ARFGEF2	3
ARFGEF3	0
ARFIP1	0
ARFIP2	1
ARFRP1	4
ARG1	176
ARG2	42
ARGFX	0
ARGLU1	1
ARHGAP1	14
ARHGAP4	8
ARHGAP5	14
ARHGAP6	13
ARHGAP8	8
ARHGAP9	11
ARHGAP10	14
ARHGAP11A	9
ARHGAP11B	0
ARHGAP12	5
ARHGAP15	10
ARHGAP17	5
ARHGAP18	15
ARHGAP19	5
ARHGAP20	5
ARHGAP21	9
ARHGAP22	5
ARHGAP23	2
ARHGAP24	12
ARHGAP25	5
ARHGAP26	27
ARHGAP27	3
ARHGAP28	3
ARHGAP29	5
ARHGAP30	7
ARHGAP31	2
ARHGAP32	2
ARHGAP33	1
ARHGAP35	8
ARHGAP36	1
ARHGAP39	1
ARHGAP40	0
ARHGAP42	4
ARHGAP44	1
ARHGAP45	0
ARHGDIA	12
ARHGDIB	19
ARHGDIG	2
ARHGEF1	6
ARHGEF2	15
ARHGEF3	4
ARHGEF4	13
ARHGEF5	10
ARHGEF6	5
ARHGEF7	17
ARHGEF9	3
ARHGEF10	7
ARHGEF10L	3
ARHGEF11	3
ARHGEF12	7
ARHGEF15	4
ARHGEF16	4
ARHGEF17	5
ARHGEF18	0
ARHGEF19	3
ARHGEF25	0
ARHGEF26	4
ARHGEF28	2
ARHGEF33	2
ARHGEF35	0
ARHGEF37	1
ARHGEF38	2
ARHGEF39	7
ARHGEF40	1
ARID1A	600
ARID1B	73
ARID2	76
ARID3A	15
ARID3B	20
ARID3C	2
ARID4A	7
ARID4B	13
ARID5A	4
ARID5B	27
ARIH1	4
ARIH2	3
ARL1	2
ARL2	22
ARL2BP	0
ARL3	1
ARL4A	1
ARL4C	17
ARL4D	2
ARL5A	1
ARL5B	2
ARL5C	0
ARL6	3
ARL6IP1	2
ARL6IP4	1
ARL6IP5	5
ARL6IP6	0
ARL8A	1
ARL8B	5
ARL9	1
ARL10	1
ARL11	4
ARL13A	0
ARL13B	10
ARL14	2
ARL14EP	0
ARL14EPL	1
ARL15	1
ARL16	0
ARL17A	2
ARL17B	0
ARMC1	0
ARMC2	0
ARMC3	2
ARMC5	7
ARMC6	0
ARMC7	0
ARMC8	10
ARMC9	1
ARMC10	3
ARMC12	0
ARMCX1	4
ARMCX2	3
ARMCX3	1
ARMCX4	2
ARMCX5	1
ARMCX6	1
ARMH1	1
ARMH2	0
ARMH3	0
ARMH4	0
ARMS2	1
ARMT1	3
ARNT	236
ARNT2	19
ARNTL	33
ARNTL2	18
ARPC1A	5
ARPC1B	10
ARPC2	11
ARPC3	4
ARPC4	6
ARPC5	4
ARPC5L	1
ARPIN	7
ARPP19	12
ARPP21	2
ARR3	3
ARRB1	28
ARRB2	20
ARRDC1	3
ARRDC2	0
ARRDC3	24
ARRDC4	5
ARRDC5	2
ARSA	18
ARSB	12
ARSD	6
ARSF	0
ARSG	1
ARSH	2
ARSI	37
ARSJ	1
ARSK	1
ARSL	2
ART1	9
ART3	2
ART4	4
ART5	1
ARTN	12
ARV1	1
ARVCF	14
ARX	8
AS3MT	24
ASAH1	34
ASAH2	2
ASAH2B	1
ASAP1	36
ASAP2	5
ASAP3	9
ASB1	0
ASB2	8
ASB3	3
ASB4	1
ASB5	1
ASB6	3
ASB7	0
ASB8	1
ASB9	5
ASB10	0
ASB11	3
ASB12	0
ASB13	4
ASB14	0
ASB15	1
ASB16	6
ASB17	0
ASB18	0
ASCC1	1
ASCC2	2
ASCC3	5
ASCL1	148
ASCL2	60
ASCL3	2
ASCL4	3
ASCL5	2
ASDURF	0
ASF1A	17
ASF1B	12
ASGR1	5
ASGR2	3
ASH1L	22
ASH2L	26
ASIC1	12
ASIC2	7
ASIC3	11
ASIC4	0
ASIC5	0
ASIP	17
ASL	109
ASMT	7
ASMTL	6
ASNS	69
ASNSD1	0
ASPA	14
ASPDH	0
ASPG	3
ASPH	40
ASPHD1	0
ASPHD2	0
ASPM	87
ASPN	30
ASPRV1	0
ASPSCR1	16
ASRGL1	8
ASS1	73
ASTE1	5
ASTL	5
ASTN1	7
ASTN2	2
ASXL1	108
ASXL2	21
ASXL3	9
ASZ1	1
ATAD1	1
ATAD2	77
ATAD2B	0
ATAD3A	15
ATAD3B	8
ATAD3C	3
ATAD5	14
ATAT1	6
ATCAY	0
ATE1	13
ATF1	53
ATF2	135
ATF3	310
ATF4	554
ATF5	37
ATF6	224
ATF6B	0
ATF7	6
ATF7IP	15
ATF7IP2	1
ATG2A	5
ATG2B	14
ATG3	92
ATG4A	20
ATG4B	61
ATG4C	14
ATG4D	15
ATG5	600
ATG7	470
ATG9A	23
ATG9B	14
ATG10	29
ATG12	177
ATG13	43
ATG14	35
ATG16L1	73
ATG16L2	11
ATG101	9
ATIC	28
ATL1	1
ATL2	2
ATL3	0
ATM	600
ATMIN	7
ATN1	3
ATOH1	47
ATOH7	0
ATOH8	11
ATOX1	40
ATP1A1	28
ATP1A2	8
ATP1A3	2
ATP1A4	3
ATP1B1	17
ATP1B2	10
ATP1B3	5
ATP1B4	0
ATP2A1	5
ATP2A2	15
ATP2A3	13
ATP2B1	9
ATP2B2	4
ATP2B3	2
ATP2B4	7
ATP2C1	6
ATP2C2	4
ATP4A	20
ATP4B	17
ATP5F1A	4
ATP5F1B	0
ATP5F1C	0
ATP5F1D	0
ATP5F1E	0
ATP5IF1	0
ATP5MC1	0
ATP5MC2	0
ATP5MC3	0
ATP5ME	0
ATP5MF	0
ATP5MG	0
ATP5MGL	0
ATP5MJ	0
ATP5MK	0
ATP5PB	0
ATP5PD	0
ATP5PF	0
ATP5PO	0
ATP6AP1	2
ATP6AP2	12
ATP6V1A	7
ATP6V1B1	5
ATP6V1B2	4
ATP6V1C1	14
ATP6V1C2	4
ATP6V1D	2
ATP6V1E1	2
ATP6V1E2	1
ATP6V1F	4
ATP6V1FNB	0
ATP6V1G1	4
ATP6V1G2	1
ATP6V1G3	2
ATP6V1H	5
ATP6V0A1	5
ATP6V0A2	3
ATP6V0A4	2
ATP6V0B	2
ATP6V0C	10
ATP6V0D1	2
ATP6V0D2	11
ATP6V0E1	2
ATP6V0E2	1
ATP7A	97
ATP7B	109
ATP8A1	6
ATP8A2	4
ATP8B1	7
ATP8B2	1
ATP8B3	1
ATP8B4	0
ATP9A	2
ATP9B	0
ATP10A	2
ATP10B	4
ATP10D	1
ATP11A	4
ATP11B	5
ATP11C	1
ATP12A	3
ATP13A1	0
ATP13A2	5
ATP13A3	3
ATP13A4	2
ATP13A5	0
ATP23	0
ATPAF1	2
ATPAF2	0
ATPSCKMT	0
ATR	600
ATRAID	0
ATRIP	29
ATRN	3
ATRNL1	3
ATRX	221
ATXN1	13
ATXN1L	5
ATXN2	9
ATXN2L	3
ATXN3	11
ATXN3L	2
ATXN7	7
ATXN7L1	1
ATXN7L2	1
ATXN7L3	6
ATXN7L3B	2
ATXN8	1
ATXN10	1
AUH	6
AUNIP	1
AUP1	0
AURKA	563
AURKAIP1	0
AURKB	183
AURKC	21
AUTS2	7
AVEN	9
AVIL	3
AVL9	8
AVP	84
AVPI1	0
AVPR1A	3
AVPR1B	2
AVPR2	6
AWAT1	0
AWAT2	0
AXDND1	0
AXIN1	151
AXIN2	346
AXL	600
AZGP1	56
AZI2	4
AZIN1	20
AZIN2	1
AZU1	8
B2M	186
B3GALNT1	3
B3GALNT2	3
B3GALT1	2
B3GALT2	0
B3GALT4	3
B3GALT5	15
B3GALT6	1
B3GALT9	0
B3GAT1	2
B3GAT2	4
B3GAT3	2
B3GLCT	0
B3GNT2	2
B3GNT3	17
B3GNT4	1
B3GNT5	11
B3GNT6	3
B3GNT7	4
B3GNT8	3
B3GNT9	1
B3GNTL1	1
B4GALNT1	11
B4GALNT2	11
B4GALNT3	7
B4GALNT4	3
B4GALT1	23
B4GALT2	2
B4GALT3	7
B4GALT4	3
B4GALT5	8
B4GALT6	0
B4GALT7	1
B4GAT1	0
B9D1	1
B9D2	0
BAALC	23
BAAT	2
BABAM1	4
BABAM2	0
BACE1	39
BACE2	7
BACH1	148
BACH2	30
BAD	600
BAG1	53
BAG2	18
BAG3	118
BAG4	18
BAG5	10
BAG6	15
BAGE	43
BAGE3	0
BAGE4	1
BAHCC1	1
BAHD1	2
BAIAP2	10
BAIAP2L1	9
BAIAP2L2	7
BAIAP3	3
BAK1	101
BAMBI	41
BANF1	12
BANF2	0
BANK1	2
BANP	7
BAP1	514
BARD1	364
BARHL1	1
BARHL2	3
BARX1	12
BARX2	11
BASP1	25
BATF	33
BATF2	20
BATF3	56
BAX	600
BAZ1A	4
BAZ1B	7
BAZ2A	11
BAZ2B	3
BBC3	67
BBIP1	3
BBLN	0
BBOF1	0
BBOX1	16
BBS1	5
BBS2	3
BBS4	4
BBS5	1
BBS7	2
BBS9	2
BBS10	5
BBS12	2
BBX	5
BCAM	32
BCAN	22
BCAP29	5
BCAP31	12
BCAR1	78
BCAR3	40
BCAS1	20
BCAS2	11
BCAS3	14
BCAS4	9
BCAT1	67
BCAT2	10
BCCIP	20
BCDIN3D	9
BCHE	79
BCKDHA	2
BCKDHB	0
BCKDK	2
BCL2	600
BCL2A1	53
BCL2L1	159
BCL2L2	49
BCL2L10	23
BCL2L11	89
BCL2L12	52
BCL2L13	8
BCL2L14	10
BCL2L15	5
BCL3	46
BCL6	208
BCL6B	13
BCL7A	11
BCL7B	7
BCL7C	5
BCL9	96
BCL9L	27
BCL10	58
BCL11A	47
BCL11B	31
BCLAF1	30
BCLAF3	0
BCO1	8
BCO2	6
BCOR	64
BCORL1	11
BCR	600
BCS1L	2
BDH1	7
BDH2	6
BDKRB1	4
BDKRB2	9
BDNF	415
BDP1	10
BEAN1	2
BECN1	236
BECN2	2
BEGAIN	0
BEND2	1
BEND3	9
BEND4	3
BEND5	2
BEND6	0
BEND7	0
BEST1	3
BEST2	4
BEST3	1
BEST4	1
BET1	7
BET1L	1
BEX1	17
BEX2	18
BEX3	6
BEX4	9
BEX5	3
BFAR	6
BFSP1	2
BFSP2	0
BGLAP	13
BGN	55
BHLHA9	0
BHLHA15	4
BHLHB9	2
BHLHE22	3
BHLHE23	0
BHLHE40	31
BHLHE41	22
BHMT	25
BHMT2	4
BICC1	11
BICD1	7
BICD2	5
BICDL1	0
BICDL2	0
BICRA	0
BICRAL	0
BID	600
BIK	176
BIN1	60
BIN2	5
BIN3	8
BIRC2	51
BIRC3	101
BIRC5	455
BIRC6	31
BIRC7	16
BIRC8	4
BIVM	1
BLCAP	22
BLID	8
BLK	35
BLM	600
BLMH	8
BLNK	22
BLOC1S1	2
BLOC1S2	1
BLOC1S3	0
BLOC1S4	0
BLOC1S5	0
BLOC1S6	0
BLVRA	3
BLVRB	9
BLZF1	2
BMERB1	0
BMF	129
BMI1	600
BMP1	44
BMP2	210
BMP2K	4
BMP3	47
BMP4	244
BMP5	28
BMP6	73
BMP7	123
BMP8A	5
BMP8B	8
BMP10	12
BMP15	9
BMPER	3
BMPR1A	132
BMPR1B	39
BMPR2	61
BMS1	1
BMT2	0
BMX	69
BNC1	22
BNC2	23
BNIP1	8
BNIP2	3
BNIP3	312
BNIP3L	88
BNIP5	0
BNIPL	3
BOC	200
BOD1	3
BOD1L1	0
BOD1L2	0
BOK	59
BOLA1	0
BOLA2	3
BOLA2B	1
BOLA3	2
BOLL	4
BOP1	17
BORA	38
BORCS5	1
BORCS6	0
BORCS7	0
BORCS8	0
BPGM	2
BPHL	3
BPI	366
BPIFA1	10
BPIFA2	4
BPIFA3	0
BPIFB1	7
BPIFB2	1
BPIFB3	0
BPIFB4	0
BPIFB6	0
BPIFC	0
BPNT1	2
BPNT2	0
BPTF	41
BPY2	4
BPY2B	0
BPY2C	0
BRAF	600
BRAP	16
BRAT1	5
BRCA1	600
BRCA2	600
BRCC3	9
BRD1	7
BRD2	90
BRD3	74
BRD3OS	0
BRD4	600
BRD7	37
BRD8	9
BRD9	32
BRDT	34
BRF1	29
BRF2	25
BRI3	3
BRI3BP	1
BRICD5	0
BRINP1	4
BRINP2	0
BRINP3	0
BRIP1	319
BRIX1	1
BRK1	1
BRME1	1
BRMS1	161
BRMS1L	10
BROX	2
BRPF1	12
BRPF3	1
BRS3	5
BRSK1	13
BRSK2	6
BRWD1	1
BRWD3	5
BSCL2	4
BSDC1	1
BSG	87
BSN	23
BSND	2
BSPH1	0
BSPRY	2
BST1	6
BST2	37
BSX	1
BTAF1	0
BTBD1	3
BTBD2	4
BTBD3	6
BTBD6	1
BTBD7	16
BTBD8	0
BTBD9	1
BTBD10	1
BTBD11	0
BTBD16	1
BTBD17	1
BTBD18	0
BTBD19	1
BTC	600
BTD	27
BTF3	23
BTF3L4	0
BTG1	65
BTG2	138
BTG3	42
BTG4	11
BTK	246
BTLA	121
BTN1A1	3
BTN2A1	7
BTN2A2	3
BTN3A1	17
BTN3A2	7
BTN3A3	10
BTNL2	8
BTNL3	4
BTNL8	6
BTNL9	5
BTRC	22
BUB1	224
BUB1B	148
BUB3	64
BUD13	2
BUD23	1
